table_name,foreign_key_column,referenced_table,referenced_column
tb_cds_domicilio,tp_cds_imovel,tb_cds_tipo_imovel,co_cds_tipo_imovel
tb_cds_domicilio,tp_logradouro,tb_tipo_logradouro,co_tipo_logradouro
tb_cds_domicilio,co_uf,tb_uf,co_uf
tb_cds_domicilio_familia,co_cds_cad_domiciliar,tb_cds_cad_domiciliar,co_seq_cds_cad_domiciliar
tb_cds_domicilio_familia,co_renda_familiar,tb_renda_familiar,co_renda_familiar
tb_cds_domicilio_resposta,co_pergunta,tb_pergunta,co_seq_pergunta
tb_cds_domicilio_resposta,co_pergunta_detalhe,tb_pergunta_detalhe,co_pergunta_detalhe
tb_cds_domicilio_resposta,co_cds_cad_domiciliar,tb_cds_cad_domiciliar,co_seq_cds_cad_domiciliar
tb_cds_ficha_atend_domiciliar,co_cds_prof_principal,tb_cds_prof,co_seq_cds_prof
tb_cds_ficha_atend_domiciliar,co_cds_prof_atend_comp,tb_cds_prof,co_seq_cds_prof
